, madhu_16, madhu_17, madhu_18, madhu_19, madhu_20, madhu_21, madhu_22, madhu_23, madhu_24, madhu_25, madhu_26, madhu_27, madhu_28, madhu_29, madhu_30
,PRC,PRC,PRC,PRC,PRC,PRW,PRW,PRW,PRW,PRW,PR_NTN,PR_NTN,PR_NTN,PR_NTN,PR_NTN
"1,2-Cyclohexanedione 4_179",1057.420738,786.923339,1282.338806,0,0,1140.010178,0,0,0,0,0,0,0,800.8907234,0
"1,3-diaminopropane_29",39630.53288,54612.443,114921.3406,15986.13877,21688.18931,35171.81703,147449.07,104456.8274,34959.27712,96937.2656,79823.89351,75121.33142,42058.26794,77363.13972,124860.1136
"1,5-Anhydroglucitol_494",6747.21447,5977.423059,4700.338325,6245.157163,2993.367145,6536.572963,7298.101094,6440.736282,5758.020295,6192.941439,4338.891948,4326.645209,4338.062287,5630.053731,7523.752339
1-Monopalmitin_455,102916.9262,87813.09021,87813.96768,100314.8636,97267.14064,107163.0477,81643.15515,72646.22173,88039.59599,84652.17084,89031.96968,85035.5004,104851.8867,107520.4018,80946.5302
"2,3-Dimethylsuccinic acid_235",68327.80582,70953.56711,152236.1587,88370.60428,13460.26941,56649.67613,25460.56021,59588.50539,110499.5941,80992.85011,46549.86009,67819.4853,61885.92898,83390.52567,95276.54776
2-Deoxyerythritol_155,40965.36077,32687.21442,26636.60222,34744.1758,17694.87303,28696.45223,15099.91927,14782.4293,30826.62408,19820.95261,11297.9659,12386.91802,9968.456647,20548.42167,19840.57247
2-hydroxypyridine_10,21762.97217,13224.33979,14469.52923,17027.85045,23549.79351,12064.09145,75109.83149,15638.26853,12027.26436,20376.16395,14016.1205,11547.79942,13300.67007,15825.20048,18277.8804
2-Monopalmitin_446,2678.50383,2626.850638,2947.148634,1680.089227,1234.156762,2424.382526,2122.178952,1534.182266,2269.76264,1816.724121,1853.375799,1668.171062,2788.799614,2651.033203,1869.735652
2-Monopalmitin_497,37236.15257,29469.68645,30586.32026,26338.95218,24313.97438,37114.96315,33338.80323,24681.69043,35699.55128,31150.81232,29385.37395,27454.40112,48114.73299,38362.20239,32654.74976
2-Monopalmitin_593,5897.463464,0,7366.53265,0,6105.033944,6307.199331,0,9553.809103,9618.894466,0,7379.980513,8070.01961,11244.00591,7939.362771,12080.21541
"3,4-Dihydroxymandelic acid_314",0,499.0808186,0,0,0,528.7814277,0,0,435.1091845,0,0,0,0,0,478.8207675
3-Aminoisobutyric acid 2_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
