, madhu_1, madhu_2, madhu_3, madhu_4, madhu_5, madhu_6, madhu_7, madhu_8, madhu_9, madhu_10, madhu_11, madhu_12, madhu_13, madhu_14, madhu_15
,RBC,RBC,RBC,RBC,RBC,RBW,RBW,RBW,RBW,RBW,RB_NTN,RB_NTN,RB_NTN,RB_NTN,RB_NTN
"1,2-Cyclohexanedione 4_179",5600.015499,10365.31837,5938.401983,4700.581861,4229.396162,5674.970803,6540.588546,4036.261401,7162.857267,16218.44902,6367.731711,4838.71293,3282.093882,4867.433726,6814.129503
"1,3-diaminopropane_29",3113.870061,15301.5377,58130.32767,46415.75437,0,2057.36119,14984.05016,0,16306.38821,0,2367.195787,0,4502.902322,0,0
"1,5-Anhydroglucitol_494",4989.922264,0,0,3109.141197,0,0,0,35109.70664,0,4375.410263,7941.585502,7717.359856,12575.2433,5268.393678,0
1-Monopalmitin_455,96710.16552,76348.02444,79050.43934,63474.51143,86283.43437,89841.54556,65850.55488,104290.1634,98667.51538,79728.34148,103435.3567,103978.6097,94865.52882,81466.99066,103469.2189
"2,3-Dimethylsuccinic acid_235",63158.90618,88727.76382,89618.92215,66153.63837,111202.8979,96944.57881,16210.3629,86785.48536,94351.66069,170229.8995,148075.5574,180032.1793,98972.41593,21570.98851,166243.9011
2-Deoxyerythritol_155,180077.5467,200703.2477,171128.1447,188987.4487,218904.5912,161371.8053,128761.9952,211042.5381,184444.588,187142.9846,164326.6091,145519.3251,159041.3764,100565.2705,200381.2528
2-hydroxypyridine_10,49328.16196,23868.49834,38951.80798,25422.06386,27901.72223,22362.485,31780.66945,88018.02958,30837.57715,27382.67053,23903.16882,30922.55716,25846.83876,34191.02413,28322.03167
2-Monopalmitin_446,1717.894018,2553.411915,661.6962238,538.4460397,1112.982604,1495.415227,548.1011593,1820.984849,1681.83151,3254.159932,2007.658522,2250.969744,1838.564048,1830.558922,1191.285013
2-Monopalmitin_497,24420.77699,39112.98437,20452.32455,16105.97629,23101.22756,22127.11486,19472.41101,23563.15157,24940.94023,42894.40143,27156.91329,27204.05614,26163.21595,23520.46971,25166.5365
2-Monopalmitin_593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,4-Dihydroxymandelic acid_314",1999.612525,3115.587543,2186.54225,1854.220376,1626.15334,1430.457915,3247.319668,1898.534578,2769.31597,3157.643136,1344.1436,1471.449433,1453.052984,2540.087728,1791.414022
3-Aminoisobutyric acid 2_13,6552.339007,9280.956436,25606.43208,0,6062.596486,10200.80126,2459.368017,0,4640.164821,9059.154077,8993.479933,15539.53062,10065.65331,6268.642411,4875.948913
3-Hydroxypropionic acid 1_41,2121.608137,3744.783319,2201.783243,2260.253837,2342.863425,2301.924547,2124.623854,3891.290995,2688.782939,4540.588358,2346.522606,4997.839094,2341.887618,2598.416263,2706.704681
4-aminobutyric acid 1_134,473618.1579,6871901.922,188897.7688,145568.895,913799.8138,355671.2317,273116.8851,234817.6444,626998.6391,9228883.522,838962.8541,1852205.207,999405.8413,425400.9258,1007919.394
4-aminobutyric acid 2_76,4149.041597,34897.03863,8972.704103,5494.893245,9748.307833,7893.394721,5371.130325,7543.240965,14781.9304,56867.4566,12314.44199,0,18381.71304,4782.068654,14904.15149
4-aminobutyric acid 3_44,11637.92144,161056.3951,4289.343113,3288.024294,18396.97186,6811.82723,10131.9069,4694.894297,12337.73001,235761.4724,15619.02401,34427.08987,22302.98937,12762.84585,26070.5171
4-Hydroxyphenylethanol_151,0,68029.79643,0,0,0,0,0,0,0,64712.62244,2985.887767,3536.574083,0,0,0
5-Aminovaleric acid 2_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Methoxytryptamine 2_193,1552.592904,3610.880172,3950.224998,2921.738149,2436.590787,0,1363.910411,2271.426506,5071.076324,0,2322.440208,4360.923554,2551.453876,0,1858.166479
5-Methoxytryptamine 2_280,45519.8536,0,123671.6059,130665.5469,139174.8163,83709.25608,41215.92692,112512.0522,272475.1308,274001.9245,195343.2359,167656.0983,132499.5351,30734.16812,97062.11318
5-Methoxytryptamine 2_315,0,25942.89349,3359.400155,6597.379331,3251.406509,3222.544256,2974.175531,4889.061408,6014.074334,24023.95587,3591.379547,4732.761178,4114.585503,0,4053.161656
5-Methoxytryptamine 2_325,22334.22305,0,21932.33405,28272.57062,38570.09175,33956.13241,17360.54318,44812.49819,46229.16593,0,41341.77674,54943.88641,46078.92999,10052.50875,45662.89392
5-Methoxytryptamine 2_333,0,0,0,5191.247084,4285.626444,2912.385243,3387.92967,4257.956907,2783.451674,5935.4184,4054.047597,3296.394374,5325.560665,0,7946.476237
5-Methoxytryptamine 2_421,5449.549756,0,11157.55605,6791.601357,6308.079542,7652.164097,4659.699849,3623.510769,12940.44578,0,13685.27307,14932.81659,8764.184512,7274.223009,20823.76963
5-Methoxytryptamine 2_542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Methoxytryptamine 2_609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-phosphogluconic acid_395,0,0,0,1821.414727,2132.913673,0,0,1117.244204,0,0,2003.272045,1775.011051,1373.302674,1504.019519,1890.917867
8-Aminocaprylic acid_245,34239.11101,105930.9914,81631.21055,280147.0686,99486.28997,67379.27461,53376.26107,88840.76865,78345.01942,213280.0164,126521.2727,83518.86319,161056.4857,17556.31717,90244.02263
8-Aminocaprylic acid_487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Aminocaprylic acid_581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconitic Acid_211,2311.631752,23075.96633,1852.976392,1257.601437,1856.955933,5196.831464,2662.370921,2161.580471,4979.364676,20468.04861,5130.058299,5457.957185,2875.117838,6630.955776,8303.625895
adenine_263,0,586647.6956,0,0,0,0,0,0,32793.46761,712497.936,25195.93436,58066.84962,0,0,0
alanine 1_31,65615.16499,6227207.306,131291.0324,20517.18263,73741.34471,54754.92326,47011.52566,54430.04262,78262.45468,9895275.729,89823.20773,219298.1351,162842.9998,98589.79667,103150.2512
allose 2_332,86533.40395,46083.91821,58283.2731,56601.89065,71411.29694,58959.06841,65751.61669,94617.51849,79474.55901,45971.45581,92385.88542,67301.1751,75682.94935,50048.73911,81686.74012
allose 2_336,3426.455389,0,3016.737432,2924.590586,2214.908273,0,4395.272963,0,2685.092776,0,2447.254769,1961.177882,2946.97532,2054.939978,1780.890324
allose 2_343,5949.859503,54435.29586,3844.603664,4360.119242,5927.281691,4935.660545,4640.140703,7219.325715,6282.155052,5175.276501,11010.76306,5200.899837,4556.521729,3811.776978,8537.670135
alpha-Aminoadipic acid_198,0,1940.726592,2851.907501,1325.424529,0,1306.546874,1608.016148,0,2088.944685,3405.835947,0,3173.738161,0,1568.521043,1404.608959
alpha-ketoglutaric acid_150,412184.7043,202236.5717,687754.3133,616354.2831,664738.0843,661172.2554,758886.5524,701601.7476,747227.226,163811.9023,165185.8965,133353.0271,419421.0008,1043549.026,225164.9781
alpha-Tocopherol_596,66571.56551,31594.01124,43805.9346,37093.28398,50519.29622,51488.89456,60294.81191,60567.44678,77495.74782,37235.2234,80526.26245,73329.81139,50283.63218,60134.86394,76291.03505
Aminomalonic acid_111,603.1668508,8432.666336,1046.029193,0,2387.896058,1837.884592,788.2910449,3772.378071,3104.863696,18775.78149,2630.887414,5427.253537,2615.053991,7256.642524,2804.17454
Arachidic acid_414,83208.53131,83138.04656,0,18477.13307,28712.09336,21043.38107,18268.54469,27420.3968,0,87220.04067,29185.38515,35007.19803,34308.20037,16566.51112,35681.23318
arbutin_452,6738.202948,9444.550969,8060.689038,6923.44337,7294.197839,8405.342473,5464.191417,9159.200751,15192.79402,14630.5544,17291.44822,13355.25632,7554.129933,3434.041828,12009.20858
ascorbate_291,6560.674654,1291.158011,8312.913944,17043.45411,4472.277228,6059.152178,42218.17602,8875.091226,5784.268097,1332.588506,3690.850592,3668.314695,5494.714928,96324.87618,0
asparagine 1_180,2193.192733,534058.768,4329.013494,2745.207941,6120.438979,4322.48777,2502.450116,3195.43934,7086.856085,990313.0607,4978.306581,41023.63362,8424.658545,7998.35611,10072.22848
asparagine 4_125,0,86928.11561,0,0,0,0,0,0,0,194432.7181,0,5824.911443,0,0,0
aspartic acid 1_131,6150.302878,89401.94695,45338.47281,17630.05014,27015.88464,27119.9954,16972.75597,16391.59795,36213.48479,427614.8182,23877.61547,96685.67948,76162.30751,33021.92516,53873.01613
aspartic acid 2_103,8481.385569,11179.66469,33656.72193,20068.61369,22440.66152,21485.7831,9194.969586,11070.28756,21309.13848,25602.52744,30326.79595,42357.77436,62618.06865,9672.973307,29821.60643
